客户id,登录账号,客户名称,分销关系关联时间,订单号,产品id,产品名称,实例id,实例首购时间,订单类型,订单时长（月）,支付时间,原价,应付金额,实付金额,项目ID,是否算评级业绩,评级业绩,消费账号数,不返佣原因,合同返佣比例,佣金比例,佣金金额,是否伙伴与客户协同的订单,退款订单对应的正向订单,客户类型
1603219815676729,泽锐投资,景德镇泽锐投资咨询有限公司,2018-02-28 19:01:16,,snapshot,快照,cn-hangzhou,2018-04-16 12:44:24,后付费,,2021-07-18 00:00:00,0.756456,0.72,0.72,,是,0.72,873,,,0.15,0.108,否,,-
1603219815676729,泽锐投资,景德镇泽锐投资咨询有限公司,2018-02-28 19:01:16,209993204570594,eip_pre,EIP（包月）,eip-bp1uevtfx4guhyh6jer2c,2019-03-29 08:48:50,续费,1月,2021-07-27 00:08:12,71,71,71,,是,71,873,,,0.15,10.65,否,,-
1603219815676729,泽锐投资,景德镇泽锐投资咨询有限公司,2018-02-28 19:01:16,,snapshot,快照,cn-hangzhou,2018-04-16 12:44:24,后付费,,2021-07-17 00:00:00,0.756456,0.72,0.72,,是,0.72,873,,,0.15,0.108,否,,-
1603219815676729,泽锐投资,景德镇泽锐投资咨询有限公司,2018-02-28 19:01:16,,eip,弹性公网IP（后付费）,eip-bp1rbggbsn9egcgcfltmx,2020-08-13 09:45:22,后付费,,2021-07-01 00:00:00,1.44,1.44,1.44,,是,1.44,873,,,0.15,0.216,否,,-
1603219815676729,泽锐投资,景德镇泽锐投资咨询有限公司,2018-02-28 19:01:16,,snapshot,快照,cn-hangzhou,2018-04-16 12:44:24,后付费,,2021-07-21 00:00:00,0.759528,0.72,0.72,,是,0.72,873,,,0.15,0.108,否,,-
1603219815676729,泽锐投资,景德镇泽锐投资咨询有限公司,2018-02-28 19:01:16,,snapshot,快照,cn-hangzhou,2018-04-16 12:44:24,后付费,,2021-07-22 00:00:00,0.759528,0.72,0.72,,是,0.72,873,,,0.15,0.108,否,,-
1603219815676729,泽锐投资,景德镇泽锐投资咨询有限公司,2018-02-28 19:01:16,,eip,弹性公网IP（后付费）,eip-bp1rbggbsn9egcgcfltmx,2020-08-13 09:45:22,后付费,,2021-07-08 00:00:00,1.44,1.44,1.44,,是,1.44,873,,,0.15,0.216,否,,-
1603219815676729,泽锐投资,景德镇泽锐投资咨询有限公司,2018-02-28 19:01:16,,snapshot,快照,cn-hangzhou,2018-04-16 12:44:24,后付费,,2021-07-15 00:00:00,0.743424,0.72,0.72,,是,0.72,873,,,0.15,0.108,否,,-
1603219815676729,泽锐投资,景德镇泽锐投资咨询有限公司,2018-02-28 19:01:16,,snapshot,快照,cn-hangzhou,2018-04-16 12:44:24,后付费,,2021-07-07 00:00:00,0.769248,0.72,0.72,,是,0.72,873,,,0.15,0.108,否,,-
1603219815676729,泽锐投资,景德镇泽锐投资咨询有限公司,2018-02-28 19:01:16,,eip,弹性公网IP（后付费）,eip-bp1rbggbsn9egcgcfltmx,2020-08-13 09:45:22,后付费,,2021-07-11 00:00:00,1.44,1.44,1.44,,是,1.44,873,,,0.15,0.216,否,,-
1603219815676729,泽锐投资,景德镇泽锐投资咨询有限公司,2018-02-28 19:01:16,,snapshot,快照,cn-hangzhou,2018-04-16 12:44:24,后付费,,2021-07-29 00:00:00,0.761328,0.72,0.72,,是,0.72,873,,,0.15,0.108,否,,-
1603219815676729,泽锐投资,景德镇泽锐投资咨询有限公司,2018-02-28 19:01:16,,snapshot,快照,cn-hangzhou,2018-04-16 12:44:24,后付费,,2021-07-28 00:00:00,0.761328,0.72,0.72,,是,0.72,873,,,0.15,0.108,否,,-
1603219815676729,泽锐投资,景德镇泽锐投资咨询有限公司,2018-02-28 19:01:16,,eip,弹性公网IP（后付费）,eip-bp1rbggbsn9egcgcfltmx,2020-08-13 09:45:22,后付费,,2021-07-02 00:00:00,1.44,1.44,1.44,,是,1.44,873,,,0.15,0.216,否,,-
1603219815676729,泽锐投资,景德镇泽锐投资咨询有限公司,2018-02-28 19:01:16,,eip,弹性公网IP（后付费）,eip-bp1rbggbsn9egcgcfltmx,2020-08-13 09:45:22,后付费,,2021-07-06 00:00:00,1.44,1.44,1.44,,是,1.44,873,,,0.15,0.216,否,,-
1603219815676729,泽锐投资,景德镇泽锐投资咨询有限公司,2018-02-28 19:01:16,,snapshot,快照,cn-hangzhou,2018-04-16 12:44:24,后付费,,2021-07-25 00:00:00,0.754968,0.72,0.72,,是,0.72,873,,,0.15,0.108,否,,-
1603219815676729,泽锐投资,景德镇泽锐投资咨询有限公司,2018-02-28 19:01:16,,eip,弹性公网IP（后付费）,eip-bp1rbggbsn9egcgcfltmx,2020-08-13 09:45:22,后付费,,2021-07-15 00:00:00,1.44,1.44,1.44,,是,1.44,873,,,0.15,0.216,否,,-
1603219815676729,泽锐投资,景德镇泽锐投资咨询有限公司,2018-02-28 19:01:16,209987830140594,vm,云服务器ECS(包月),i-bp1et2qekjwneduscxdz,2020-10-28 10:00:49,续费,1月,2021-07-27 00:06:03,275,275,275,,是,275,873,,,0.15,41.25,否,,-
1603219815676729,泽锐投资,景德镇泽锐投资咨询有限公司,2018-02-28 19:01:16,,snapshot,快照,cn-hangzhou,2018-04-16 12:44:24,后付费,,2021-07-30 00:00:00,0.761328,0.72,0.72,,是,0.72,873,,,0.15,0.108,否,,-
1603219815676729,泽锐投资,景德镇泽锐投资咨询有限公司,2018-02-28 19:01:16,209991017940594,nat_gw_pre,NAT网关（包年包月）,ngw-bp123h9gjyhd562ol5hsr,2019-03-29 08:57:20,续费,1月,2021-07-27 00:07:21,306,306,306,,是,306,873,,,0.15,45.9,否,,-
1603219815676729,泽锐投资,景德镇泽锐投资咨询有限公司,2018-02-28 19:01:16,,eip,弹性公网IP（后付费）,eip-bp1rbggbsn9egcgcfltmx,2020-08-13 09:45:22,后付费,,2021-07-24 00:00:00,1.44,1.44,1.44,,是,1.44,873,,,0.15,0.216,否,,-
1603219815676729,泽锐投资,景德镇泽锐投资咨询有限公司,2018-02-28 19:01:16,,eip,弹性公网IP（后付费）,eip-bp1rbggbsn9egcgcfltmx,2020-08-13 09:45:22,后付费,,2021-07-19 00:00:00,1.44,1.44,1.44,,是,1.44,873,,,0.15,0.216,否,,-
1603219815676729,泽锐投资,景德镇泽锐投资咨询有限公司,2018-02-28 19:01:16,,snapshot,快照,cn-hangzhou,2018-04-16 12:44:24,后付费,,2021-07-27 00:00:00,0.754968,0.72,0.72,,是,0.72,873,,,0.15,0.108,否,,-
1603219815676729,泽锐投资,景德镇泽锐投资咨询有限公司,2018-02-28 19:01:16,,eip,弹性公网IP（后付费）,eip-bp1rbggbsn9egcgcfltmx,2020-08-13 09:45:22,后付费,,2021-07-21 00:00:00,1.44,1.44,1.44,,是,1.44,873,,,0.15,0.216,否,,-
1603219815676729,泽锐投资,景德镇泽锐投资咨询有限公司,2018-02-28 19:01:16,,snapshot,快照,cn-hangzhou,2018-04-16 12:44:24,后付费,,2021-07-31 00:00:00,0.755328,0.72,0.72,,是,0.72,873,,,0.15,0.108,否,,-
